21821	9.99
19892	9.97
23909	9.96
7958	9.95
11971	9.95
1560	9.94
9023	9.94
4267	9.93
17395	9.92
7025	9.9
17696	9.9
17339	9.88
5466	9.86
6884	9.86
15150	9.86
15409	9.850000000000001
19167	9.85
25235	9.85
1376	9.84
5838	9.815
5415	9.81
12665	9.81
1968	9.78
1976	9.78
19162	9.78
26005	9.77
19575	9.75
831	9.74
75	9.72
15942	9.72
6072	9.71
25091	9.71
7534	9.7
21588	9.7
25868	9.7
4382	9.69
2624	9.68
10676	9.68
25112	9.68
17401	9.66
17882	9.66
22927	9.66
25959	9.66
16800	9.65
8366	9.64
25571	9.64
13621	9.63
3188	9.62
13321	9.62
13498	9.61
23776	9.61
10904	9.600000000000001
25176	9.6
6828	9.59
10183	9.59
17581	9.59
19544	9.59
24113	9.59
8615	9.58
2991	9.575
12161	9.56
2803	9.55
25598	9.55
12263	9.54
14842	9.54
18603	9.52
20805	9.52
4427	9.5
15206	9.5
21615	9.5
11108	9.49
14639	9.49
20515	9.49
21303	9.49
13390	9.48
6290	9.46
14628	9.46
17463	9.46
21546	9.46
5408	9.440000000000001
22888	9.44
7094	9.42
9944	9.41
15973	9.405000000000001
17182	9.4
12473	9.39
14	9.36
1150	9.36
21159	9.36
22254	9.36
24248	9.350000000000001
23901	9.35
12373	9.345
4242	9.34
5081	9.34
13815	9.34
16513	9.34
16958	9.34
17076	9.33
10478	9.32
14338	9.31
21144	9.31
12696	9.3
14985	9.3
15196	9.3
16820	9.3
20331	9.28
16338	9.27
6265	9.26
15322	9.26
25662	9.26
1322	9.245000000000001
375	9.24
2117	9.24
7596	9.24
22728	9.24
25211	9.24
15253	9.23
16230	9.23
11467	9.22
18784	9.22
71	9.19
9135	9.18
7807	9.17
20155	9.17
22381	9.17
23866	9.17
14135	9.16
18628	9.16
5851	9.156666666666666
21016	9.15
23419	9.15
6024	9.14
7713	9.13
4365	9.12
19806	9.11
8398	9.096666666666666
735	9.08
4819	9.08
5413	9.08
6390	9.08
8400	9.07
1983	9.065000000000001
899	9.06
2356	9.06
7597	9.05
12798	9.05
24504	9.04
10499	9.03
19145	9.03
13415	9.02
16576	9.02
3853	9.01
5661	9.01
6161	9.01
14550	9.0
4638	8.98
12887	8.98
3910	8.97
20230	8.97
23264	8.97
4775	8.965
6867	8.955
2339	8.95
13622	8.940000000000001
293	8.94
19434	8.94
19011	8.935
18366	8.93
25674	8.93
19256	8.92
20065	8.92
24733	8.92
5548	8.91
6535	8.91
18210	8.903333333333334
11197	8.899999999999999
10178	8.895
9095	8.89
16891	8.89
13483	8.88
18237	8.87
1959	8.865
28	8.86
7637	8.86
15718	8.86
20495	8.86
4040	8.85
9867	8.85
20793	8.83
2143	8.82
3754	8.82
5409	8.82
